Fruit_Type,Supplier_Region,Packaging_Type,Customer_Type,Shipping_Method,Payment_Method,Quality_Grade,Quantity_KG,Unit_Price,Total_Revenue,Order_Date,Delivery_Date
Mango,Mindanao,Box,Wholesale,Sea Cargo,GCash,Premium,96.12,364.42,113619.64,2025-10-16,2025-10-18
Mango,Luzon,Vacuum Pack,Wholesale,Sea Cargo,Cash,Premium,139.48,334.46,113538.88,2025-08-27,2025-09-03
Jackfruit,Visayas,Vacuum Pack,Wholesale,Pickup,Bank Transfer,Grade B,119.97,435.88,73952.96,2024-08-13,2024-08-21
Mango,Visayas,Box,Distributor,Air Freight,Credit Card,Premium,106.17,424.36,24972.04,2024-04-04,2024-04-11
Coconut,Mindanao,Box,Wholesale,Air Freight,Cash,Premium,152.55,215.5,25160.48,2024-10-27,2024-11-10
Mango,Visayas,Box,Online,Courier,GCash,Grade B,209.87,341.16,143345.86,2024-08-26,2024-09-09
Mango,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Credit Card,Grade B,171.48,425.38,140750.77,2025-11-30,2025-12-11
Banana,Luzon,Resealable Bag,Retail,Courier,Credit Card,Grade B,79.78,421.33,117764.21,2024-08-12,2024-08-23
Coconut,Visayas,Jar,Online,Sea Cargo,Bank Transfer,Grade A,160.98,305.25,59920.91,2024-11-18,2024-11-22
Jackfruit,Visayas,Box,Wholesale,Sea Cargo,Credit Card,Grade A,390.1,404.16,39039.85,2025-08-21,2025-08-28
Coconut,Visayas,Vacuum Pack,Online,Pickup,Credit Card,Premium,163.14,302.56,189061.86,2024-06-12,2024-06-25
Mango,Mindanao,Box,Distributor,Air Freight,Bank Transfer,Grade B,121.17,121.07,147197.49,2025-11-27,2025-12-09
Guava,Luzon,Vacuum Pack,Distributor,Sea Cargo,GCash,Grade B,393.13,298.0,157939.03,2024-09-26,2024-10-05
Jackfruit,Visayas,Jar,Retail,Air Freight,Bank Transfer,Grade B,157.75,199.49,117797.82,2025-06-27,2025-06-28
Coconut,Visayas,Vacuum Pack,Wholesale,Sea Cargo,Credit Card,Premium,124.31,294.13,125252.84,2024-03-21,2024-03-23
Guava,Mindanao,Resealable Bag,Distributor,Pickup,Bank Transfer,Grade B,454.83,268.99,57102.07,2024-08-04,2024-08-13
Mango,Mindanao,Resealable Bag,Wholesale,Air Freight,Cash,Premium,334.0,195.55,182029.8,2024-03-06,2024-03-12
Jackfruit,Luzon,Box,Online,Sea Cargo,GCash,Premium,470.98,308.44,99807.49,2024-12-04,2024-12-06
Papaya,Luzon,Vacuum Pack,Retail,Pickup,Bank Transfer,Grade B,235.0,405.07,20292.53,2025-04-29,2025-05-12
Mango,Luzon,Jar,Distributor,Air Freight,GCash,Grade A,135.59,268.04,90157.51,2025-10-31,2025-11-11
Pineapple,Luzon,Jar,Retail,Air Freight,Cash,Grade A,466.87,400.07,41599.11,2024-10-12,2024-10-20
Pineapple,Visayas,Vacuum Pack,Wholesale,Pickup,Cash,Grade B,169.34,378.74,96451.59,2025-05-12,2025-05-20
Coconut,Mindanao,Jar,Wholesale,Sea Cargo,Bank Transfer,Grade A,485.92,311.13,113017.09,2025-03-09,2025-03-21
Mango,Mindanao,Jar,Wholesale,Air Freight,Cash,Grade A,80.83,142.43,173745.65,2024-11-17,2024-11-18
Jackfruit,Luzon,Vacuum Pack,Retail,Pickup,Bank Transfer,Grade B,141.92,356.34,55350.33,2025-02-17,2025-02-19
Coconut,Mindanao,Box,Online,Courier,Cash,Grade A,256.23,449.49,199258.33,2025-02-09,2025-02-12
Pineapple,Mindanao,Box,Wholesale,Courier,Cash,Grade A,216.29,172.06,168411.54,2024-03-16,2024-03-25
Jackfruit,Mindanao,Vacuum Pack,Distributor,Air Freight,GCash,Grade B,101.94,155.32,115112.49,2025-12-21,2025-12-26
Jackfruit,Luzon,Box,Wholesale,Courier,Credit Card,Grade B,457.4,399.21,27536.71,2024-10-05,2024-10-10
Banana,Luzon,Vacuum Pack,Distributor,Sea Cargo,Bank Transfer,Grade A,383.55,302.05,91260.51,2025-03-09,2025-03-23
Mango,Mindanao,Resealable Bag,Retail,Courier,GCash,Grade B,107.35,221.73,180806.48,2024-01-10,2024-01-12
Pineapple,Mindanao,Resealable Bag,Retail,Courier,Credit Card,Premium,387.26,425.5,54980.09,2024-02-10,2024-02-16
Guava,Luzon,Jar,Retail,Sea Cargo,Bank Transfer,Grade B,411.01,405.14,164042.37,2024-06-15,2024-06-28
Guava,Mindanao,Vacuum Pack,Online,Air Freight,Credit Card,Grade A,139.81,423.09,76435.1,2024-09-30,2024-10-03
Mango,Mindanao,Resealable Bag,Online,Courier,Bank Transfer,Grade A,485.1,212.11,131881.53,2024-08-21,2024-08-25
Guava,Mindanao,Box,Retail,Air Freight,Bank Transfer,Grade A,311.27,444.57,17268.87,2025-02-13,2025-02-24
Banana,Mindanao,Box,Online,Air Freight,Credit Card,Premium,135.54,134.65,92850.93,2025-09-02,2025-09-09
Jackfruit,Mindanao,Resealable Bag,Distributor,Pickup,Cash,Premium,464.35,325.64,136043.62,2025-06-16,2025-06-29
Banana,Mindanao,Box,Online,Courier,Credit Card,Premium,183.04,162.0,89884.8,2024-05-07,2024-05-19
Coconut,Luzon,Box,Online,Air Freight,Bank Transfer,Grade B,144.58,379.3,125265.7,2025-01-23,2025-02-03
Papaya,Visayas,Resealable Bag,Online,Sea Cargo,Cash,Grade B,281.95,328.87,73685.77,2024-11-25,2024-12-03
Banana,Luzon,Resealable Bag,Wholesale,Air Freight,Cash,Grade A,492.77,321.72,156012.97,2024-08-28,2024-09-08
Coconut,Mindanao,Resealable Bag,Online,Pickup,Credit Card,Grade A,116.41,346.92,179605.37,2025-04-11,2025-04-18
Papaya,Luzon,Resealable Bag,Online,Air Freight,GCash,Grade A,255.41,384.47,136839.77,2024-04-19,2024-05-02
