order_id,order_date,customer_id,product_name,category,price_per_kg,quantity_kg,total_price,payment_method,city,delivery_status
1001,2024-04-12,2684,Cashews,Dried Fruits,628.63,3.83,2407.65,GCash,Cavite,Cancelled
1002,2024-02-21,2716,Dried Apricot,Dried Fruits,340.96,3.34,1138.81,Credit Card,Manila,Cancelled
1003,2024-04-02,2771,Dried Apricot,Nuts,864.19,2.97,2566.64,Credit Card,Manila,Delivered
1004,2024-01-15,2445,Walnuts,Dried Fruits,416.09,3.6,1497.92,GCash,Quezon City,Cancelled
1005,2024-04-16,2448,Walnuts,Dried Fruits,297.56,1.15,342.19,Credit Card,Quezon City,Delivered
1006,2024-03-12,2880,Dried Mango,Nuts,1061.99,3.18,3377.13,Cash on Delivery,Batangas,Pending
1007,2024-03-01,2487,Pistachios,Dried Fruits,660.16,1.27,838.4,Credit Card,Laguna,Pending
1008,2024-01-21,2799,Raisins,Nuts,949.28,4.66,4423.64,Cash on Delivery,Manila,Delivered
1009,2024-04-12,2033,Dates,Nuts,490.59,0.81,397.38,Credit Card,Quezon City,Cancelled
1010,2024-03-23,2347,Pistachios,Dried Fruits,986.97,2.44,2408.21,GCash,Manila,Delivered
1011,2024-03-27,2094,Almonds,Dried Fruits,311.94,3.63,1132.34,GCash,Quezon City,Pending
1012,2024-03-15,2071,Dates,Dried Fruits,555.97,2.56,1423.28,Credit Card,Cavite,Pending
1013,2024-03-15,2550,Pistachios,Nuts,1178.06,0.91,1072.03,GCash,Manila,Delivered
1014,2024-03-28,2153,Dates,Nuts,993.99,2.99,2972.03,Credit Card,Cavite,Cancelled
1015,2024-04-26,2249,Raisins,Dried Fruits,697.26,3.39,2363.71,GCash,Manila,Cancelled
1016,2024-04-09,2673,Almonds,Dried Fruits,539.78,3.67,1980.99,Cash on Delivery,Laguna,Delivered
1017,2024-04-13,2437,Dried Apricot,Dried Fruits,1072.14,2.18,2337.27,Credit Card,Batangas,Delivered
1018,2024-01-24,2117,Dried Apricot,Dried Fruits,744.85,3.04,2264.34,Cash on Delivery,Cavite,Cancelled
1019,2024-01-03,2770,Raisins,Nuts,958.43,2.53,2424.83,Cash on Delivery,Quezon City,Pending
1020,2024-01-22,2890,Dried Mango,Dried Fruits,954.11,3.52,3358.47,Credit Card,Laguna,Delivered
1021,2024-02-22,2305,Almonds,Nuts,217.95,3.13,682.18,Cash on Delivery,Manila,Cancelled
1022,2024-01-02,2267,Cashews,Nuts,326.25,2.87,936.34,Credit Card,Cavite,Cancelled
1023,2024-03-28,2960,Pistachios,Dried Fruits,859.63,1.62,1392.6,Cash on Delivery,Manila,Pending
