experience_years,num_clients,weekly_hours_worked,portfolio_projects,monthly_income_PHP
7,5,26,17,47351
4,19,17,45,53070
13,7,44,31,70634
15,9,44,38,84983
11,7,42,15,67495
8,18,14,34,59160
13,4,51,9,61942
5,14,48,24,58385
7,18,50,30,66734
10,9,37,4,57225
3,2,16,44,28268
7,20,18,47,71943
11,15,17,8,66373
11,7,21,30,58800
8,12,43,30,64287
5,8,42,46,51650
4,15,57,46,61554
8,3,32,22,41948
8,14,33,32,65859
3,17,46,13,56254
6,4,44,30,42109
5,18,53,27,63443
2,8,49,41,45432
8,4,31,35,50166
12,2,36,3,51799
14,6,44,29,69870
6,10,10,15,43669
2,4,44,43,37611
12,18,46,5,84446
5,12,56,41,59116
1,2,23,8,24017
12,10,12,10,63419
10,4,10,29,48596
6,14,14,11,46289
13,16,35,39,78746
12,15,23,35,76273
9,8,48,44,57348
1,14,36,46,46676
11,8,18,26,61421
11,16,24,17,71297
15,13,24,34,77775
10,18,35,34,73290
12,15,51,26,82418
12,13,22,43,73175
15,9,60,14,79323
14,15,41,41,88065
14,13,48,4,81741
15,1,58,5,71965
14,7,41,39,74330
3,9,13,19,34936
12,1,39,4,52901
7,12,46,4,51776
4,8,32,30,43251
9,11,48,25,64652
3,19,54,39,59089
